id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders,discount,promotion
1000062,7,50,1062,159.11,160.11,0,0,350,1.0,0
1000063,94,89,1778,160.05,161.05,0,0,661,1.0,0
1000064,78,13,1525,291.06,289.06,0,0,474,-2.0,0
1000065,9,80,1770,485.03,484.03,0,0,14,-1.0,0
1000066,118,50,1727,447.23,446.23,0,0,337,-1.0,0
1000067,1,58,1962,583.03,610.13,1,1,229,27.100000000000023,2
1000068,26,129,1247,485.03,486.03,0,0,41,1.0,0
1000069,73,53,1543,388.03,486.03,0,0,27,98.0,0
1000070,113,80,1525,241.53,241.53,0,1,123,0.0,1
1000071,8,26,2306,259.99,242.5,1,0,14,-17.49000000000001,1
1000072,32,109,1770,436.53,484.03,0,0,27,47.5,0
1000073,122,81,2139,291.03,290.03,0,0,42,-1.0,0
1000074,21,39,2707,225.07,225.07,0,0,121,0.0,0
1000075,83,99,2664,306.52,308.52,0,0,472,2.0,0
1000076,28,110,1962,640.23,641.23,0,0,150,1.0,0
1000078,33,39,1445,596.58,709.13,0,0,53,112.54999999999995,0
1000079,107,186,2290,247.38,248.38,0,0,474,1.0,0
1000080,107,30,1778,163.02,161.02,0,0,487,-2.0,0
1000081,130,106,2577,282.33,281.33,0,0,14,-1.0,0
1000082,104,43,1571,582.03,581.03,0,0,14,-1.0,0
1000083,92,75,1971,194.03,321.07,1,1,1027,127.03999999999999,2
1000084,31,23,2664,334.71,332.71,0,0,446,-2.0,0
1000086,132,146,1248,154.26,155.26,0,0,67,1.0,0
1000087,56,51,1558,678.03,679.03,0,0,95,1.0,0
1000088,124,72,2494,194.0,194.0,0,0,26,0.0,0
1000089,65,106,1109,255.11,297.79,0,0,458,42.68000000000001,0
1000090,28,59,1878,282.33,280.33,0,0,68,-2.0,0
1000091,134,17,2304,483.09,469.51,0,1,109,-13.579999999999984,1
1000092,110,17,2760,241.53,243.53,0,0,107,2.0,0
1000093,59,73,1971,289.06,291.06,0,0,351,2.0,0
1000094,98,110,2577,280.33,280.33,0,0,40,0.0,0
1000095,35,32,1207,313.31,313.31,0,0,123,0.0,0
1000096,97,67,2290,286.18,287.18,0,0,447,1.0,0
1000097,119,126,1247,445.23,447.23,0,1,14,2.0,1
1000098,55,110,1770,387.03,485.03,0,0,15,98.0,0
1000099,127,52,1311,183.36,184.36,0,0,528,1.0,0
1000101,67,64,1778,168.78,170.78,0,0,161,2.0,0
1000102,140,94,2631,97.03,154.26,0,0,107,57.22999999999999,0
1000103,113,99,1962,466.63,697.43,1,0,1390,230.79999999999995,1
1000104,65,129,1525,242.53,291.03,0,0,95,48.49999999999997,0
1000106,135,75,2539,97.97,121.28,0,0,109,23.310000000000002,0
1000107,19,75,2306,220.25,340.53,0,0,217,120.27999999999997,0
1000108,69,14,1543,486.03,485.03,0,0,40,-1.0,0
1000109,106,51,1962,679.03,680.03,0,0,285,1.0,0
1000110,139,11,1971,327.86,329.86,0,0,364,2.0,0
1000111,94,75,2490,200.85,243.5,1,1,392,42.650000000000006,2
1000112,36,50,2290,303.64,302.64,0,0,595,-1.0,0
1000113,113,124,2494,243.5,242.5,0,0,14,-1.0,0
1000114,82,186,2640,280.33,280.33,0,0,81,0.0,0
1000115,119,76,1885,150.35,150.35,0,0,662,0.0,0
1000117,133,58,2126,427.8,428.8,0,0,27,1.0,0
1000118,75,41,1885,145.5,147.5,0,0,68,2.0,0
1000120,47,30,1971,248.38,311.4,0,0,528,63.01999999999998,0
1000122,67,81,2640,280.33,281.33,0,0,121,1.0,0
1000123,102,52,2306,349.26,347.26,0,0,26,-2.0,0
1000124,47,124,2539,146.53,145.53,0,0,134,-1.0,0
1000125,37,17,1543,485.03,484.03,0,0,28,-1.0,0
1000126,6,65,1207,321.13,320.13,0,0,204,-1.0,0
1000128,115,39,1248,145.5,145.5,0,0,28,0.0,0
1000129,10,143,1543,503.43,504.43,0,0,80,1.0,0
1000131,84,23,2664,304.64,302.64,0,0,365,-2.0,0
1000132,75,14,2760,243.53,243.53,0,0,94,0.0,0
1000133,37,91,1727,445.23,447.23,0,0,40,2.0,0
1000134,116,99,1962,462.69,698.43,1,0,892,235.73999999999995,1
1000135,95,51,2306,349.26,348.26,0,0,41,-1.0,0
1000136,22,29,1558,639.23,639.23,0,0,108,0.0,0
1000137,64,174,2577,290.03,292.03,0,0,242,2.0,0
1000138,113,66,2707,185.3,186.3,0,0,555,1.0,0
1000139,12,72,1558,533.53,581.03,1,0,82,47.5,1
1000140,64,26,1885,119.37,119.37,0,0,283,0.0,0
1000141,139,36,1778,185.27,187.27,0,0,622,2.0,0
1000142,90,29,2569,310.43,311.43,0,0,393,1.0,0
1000143,114,74,1571,581.03,582.03,0,0,14,1.0,0
1000144,133,104,2304,479.24,479.24,0,0,42,0.0,0
1000145,35,110,2707,223.16,223.16,0,0,392,0.0,0
1000146,110,64,2322,322.1,291.03,0,1,136,-31.07000000000005,1
1000147,96,67,1062,160.05,160.05,0,0,593,0.0,0
1000148,143,10,1885,151.38,149.38,0,0,1986,-2.0,0
1000149,48,149,2322,323.98,324.98,0,0,109,1.0,0
1000150,70,99,1571,631.53,630.53,0,0,54,-1.0,0
1000151,80,73,1109,292.0,291.0,0,0,310,-1.0,0
1000153,107,139,2126,509.31,508.31,0,0,68,-1.0,0
1000154,21,161,1248,253.2,252.2,0,0,40,-1.0,0
1000155,68,30,2664,321.13,319.13,0,0,258,-2.0,0
1000156,55,109,2492,387.03,388.03,0,1,27,1.0,1
1000157,73,55,2490,252.2,252.2,0,0,150,0.0,0
1000158,56,153,2444,618.86,619.86,0,0,161,1.0,0
1000159,54,101,2290,281.33,281.33,0,0,648,0.0,0
1000160,135,64,2490,290.03,292.03,0,0,107,2.0,0
1000161,15,106,2492,447.23,447.23,0,0,41,0.0,0
1000163,129,162,2304,468.51,468.51,0,0,40,0.0,0
1000165,82,81,2826,309.43,311.43,0,0,352,2.0,0
1000166,32,83,2290,283.24,284.24,0,0,946,1.0,0
1000167,10,143,1885,119.37,122.28,0,1,364,2.9099999999999966,1
1000168,14,39,2760,190.18,233.83,0,0,82,43.650000000000006,0
1000169,78,145,1778,180.48,179.48,0,0,188,-1.0,0
1000170,44,77,2322,287.15,288.15,0,0,175,1.0,0
1000171,104,186,2492,446.23,446.23,0,0,15,0.0,0
1000172,51,75,1962,640.23,639.23,0,0,270,-1.0,0
1000173,63,93,1445,629.53,708.13,0,0,53,78.60000000000002,0
1000174,103,83,1247,445.23,445.23,0,0,80,0.0,0
1000175,136,55,1198,195.03,228.01,0,0,96,32.97999999999999,0
1000176,121,76,1971,192.06,323.04,1,1,1201,130.98000000000002,2
1000177,111,50,1207,313.34,313.37,1,0,150,0.03000000000002956,1
1000178,104,137,2956,581.03,581.03,0,0,96,0.0,0
1000179,127,76,1109,266.75,317.19,0,0,393,50.44,0
1000180,116,126,1216,417.13,417.13,0,0,42,0.0,0
1000181,112,129,1248,143.59,144.59,0,0,40,1.0,0
1000182,134,11,1727,466.63,466.63,0,0,635,0.0,0
1000183,87,104,2306,243.5,348.26,0,1,161,104.75999999999999,1
1000185,12,64,2581,533.53,583.03,1,0,149,49.5,1
1000186,98,145,2707,187.27,187.27,0,0,350,0.0,0
1000188,130,137,1543,469.51,468.51,0,0,82,-1.0,0
1000189,15,161,1962,640.23,641.23,0,0,149,1.0,0
1000190,57,89,2304,388.03,463.72,0,0,82,75.69000000000005,0
1000191,140,26,1525,320.13,320.13,0,0,14,0.0,0
1000192,110,132,1727,438.5,438.5,0,0,350,0.0,0
1000193,8,17,1885,144.53,144.53,0,0,540,0.0,0
1000194,82,149,1754,310.43,309.43,0,0,81,-1.0,0
1000195,65,64,2322,325.01,323.01,0,0,148,-2.0,0
1000196,37,30,1803,178.51,214.43,0,1,121,35.920000000000016,1
1000197,92,23,1207,321.07,388.0,0,0,177,66.93,0
1000198,135,77,1993,96.03,122.28,0,0,161,26.25,0
1000199,122,32,2126,427.8,508.31,0,0,96,80.50999999999999,0
1000200,5,99,1727,240.56,445.23,0,0,2875,204.67000000000002,0
1000201,88,36,2139,298.82,297.82,0,0,80,-1.0,0
1000202,106,32,1727,403.55,404.55,0,0,242,1.0,0
1000203,95,81,1248,155.26,155.26,0,0,41,0.0,0
1000204,46,81,1109,224.1,281.36,1,0,675,57.26000000000002,1
1000205,76,59,2956,581.03,581.03,0,0,55,0.0,0
1000206,93,126,1727,445.23,446.23,0,0,296,1.0,0
1000207,55,51,2444,619.86,619.86,0,0,96,0.0,0
1000208,77,68,2492,445.23,445.23,0,0,69,0.0,0
1000209,20,83,2569,328.89,326.89,0,0,230,-2.0,0
1000210,31,34,1971,289.06,289.06,0,0,297,0.0,0
1000211,112,109,2577,292.03,292.03,0,0,42,0.0,0
1000212,59,129,2956,631.53,630.53,0,0,27,-1.0,0
1000214,38,23,1248,154.26,154.26,0,0,81,0.0,0
1000215,108,13,2577,213.46,290.03,1,0,553,76.56999999999996,1
1000216,36,106,2569,328.89,326.89,0,0,230,-2.0,0
1000217,105,67,2867,669.33,669.33,0,0,41,0.0,0
1000218,82,110,1902,447.23,446.23,0,0,13,-1.0,0
1000219,3,81,2322,321.07,322.1,0,1,433,1.0300000000000296,1
1000220,121,110,2826,326.92,326.92,0,0,377,0.0,0
1000221,94,64,2707,186.24,186.27,1,0,391,0.030000000000001137,1
1000222,34,143,1543,387.03,505.43,0,0,67,118.40000000000003,0
1000223,45,177,1207,315.31,313.31,0,0,324,-2.0,0
1000224,100,104,1109,234.74,304.58,0,0,445,69.83999999999997,0
1000225,59,129,1216,435.53,437.53,0,0,53,2.0,0
1000226,60,32,2306,316.25,359.93,0,0,15,43.68000000000001,0
1000227,135,66,1230,366.72,365.72,0,0,149,-1.0,0
1000228,142,93,2492,445.23,446.23,0,0,14,1.0,0
1000229,47,75,1971,244.5,311.43,1,0,419,66.93,1
1000230,125,17,2306,241.53,337.62,0,0,123,96.09,0
1000231,17,57,2631,96.03,260.93,0,0,13,164.9,0
1000232,82,93,1902,445.23,445.23,0,0,15,0.0,0
1000234,8,108,1847,243.5,243.5,0,0,27,0.0,0
1000235,138,104,1770,486.03,486.03,0,0,26,0.0,0
1000236,116,61,1885,96.03,97.03,0,0,162,1.0,0
1000238,74,177,2492,446.23,446.23,0,0,14,0.0,0
1000240,142,143,2640,321.13,321.13,0,0,134,0.0,0
1000241,120,72,2631,154.26,153.26,0,0,68,-1.0,0
1000242,129,32,2126,428.8,508.31,0,0,54,79.50999999999999,0
1000243,101,42,1993,121.31,120.31,0,0,445,-1.0,0
1000244,64,143,1902,445.23,445.23,0,0,40,0.0,0
1000245,137,43,2322,383.21,381.21,0,0,431,-2.0,0
1000246,144,126,2577,320.13,321.13,0,0,55,1.0,0
1000247,34,50,1778,159.08,161.08,0,0,270,2.0,0
1000248,129,145,2867,765.33,767.33,0,0,13,2.0,0
1000249,111,17,2494,242.5,243.5,0,0,13,1.0,0
1000250,111,20,1207,315.25,514.13,1,0,148,198.88,1
1000251,126,157,2306,338.53,340.53,0,1,15,2.0,1
1000252,80,104,1971,309.43,311.43,0,0,284,2.0,0
1000253,48,124,1885,122.25,143.59,0,0,567,21.340000000000003,0
1000254,32,110,1230,315.31,314.31,0,0,338,-1.0,0
1000255,70,89,2494,233.83,232.83,0,0,81,-1.0,0
1000256,88,14,2569,314.28,363.81,0,0,55,49.53000000000003,0
1000257,57,30,2322,462.69,463.69,0,0,297,1.0,0
1000258,31,88,2631,153.32,260.93,0,1,135,107.61000000000001,1
1000260,22,58,1962,639.23,640.23,0,0,109,1.0,0
1000262,42,10,2867,620.86,618.86,0,0,162,-2.0,0
1000263,97,55,2867,670.33,669.33,0,0,40,-1.0,0
1000265,119,23,1847,194.0,242.5,0,1,122,48.5,1
1000266,13,76,1062,183.33,183.33,0,0,256,0.0,0
1000267,8,50,1558,615.95,617.95,0,0,107,2.0,0
1000268,124,145,1558,513.19,660.63,0,0,41,147.43999999999994,0
1000269,42,65,2490,244.5,244.5,1,1,1176,0.0,2
1000270,106,30,1885,145.53,146.53,0,0,932,1.0,0
1000272,130,177,1109,224.1,303.67,1,1,1797,79.57000000000002,2
1000273,46,113,2126,435.59,552.93,0,0,55,117.33999999999997,0
1000274,109,10,1216,340.5,388.03,0,0,96,47.52999999999997,0
1000275,105,39,2867,709.13,709.13,0,0,14,0.0,0
1000276,12,99,1216,407.43,455.93,0,0,28,48.5,0
1000277,95,89,2867,436.56,670.33,1,1,257,233.77000000000004,2
1000278,135,17,1993,150.35,150.35,0,0,107,0.0,0
1000279,109,51,1778,181.45,181.45,0,0,744,0.0,0
1000280,74,59,1962,680.03,679.03,0,0,163,-1.0,0
1000281,92,88,1525,290.03,290.03,0,0,40,0.0,0
1000282,131,106,2826,325.92,327.92,0,0,528,2.0,0
1000283,92,26,2139,292.03,290.03,0,0,42,-2.0,0
1000284,121,97,2631,92.15,155.26,1,0,80,63.109999999999985,1
1000285,135,39,2569,332.71,333.71,0,0,837,1.0,0
1000286,106,10,1902,388.03,447.23,0,0,121,59.200000000000045,0
1000287,141,146,1062,167.84,168.84,0,0,393,1.0,0
1000288,66,59,2956,630.53,631.53,0,0,14,1.0,0
1000289,101,137,2760,222.13,224.13,0,0,366,2.0,0
1000290,34,59,1062,162.05,183.36,0,0,636,21.310000000000002,0
1000291,143,53,2290,298.79,299.79,0,0,499,1.0,0
1000292,58,50,2631,146.5,146.5,0,0,80,0.0,0
1000293,91,57,2707,185.27,223.1,0,0,311,37.829999999999984,0
1000294,47,57,1230,322.07,321.07,0,0,161,-1.0,0
1000295,69,80,2760,241.53,242.53,0,0,28,1.0,0
1000296,62,52,1445,608.19,608.19,0,0,68,0.0,0
1000297,66,43,1445,609.19,610.19,0,0,68,1.0,0
1000298,9,174,1311,160.05,194.0,0,0,325,33.94999999999999,0
1000299,31,34,2704,292.03,292.03,0,0,243,0.0,0
1000300,34,186,1543,260.96,504.43,0,0,352,243.47000000000003,0
1000302,24,89,1971,334.71,333.71,0,0,80,-1.0,0
1000303,26,145,2539,120.28,120.28,0,0,149,0.0,0
1000305,130,104,1207,324.95,501.52,0,0,231,176.57,0
1000306,138,174,1109,252.2,308.49,0,0,1162,56.29000000000002,0
1000307,30,17,2494,195.0,243.5,0,0,13,48.5,0
1000308,57,51,2640,290.03,291.03,0,0,148,1.0,0
1000309,69,86,1207,461.78,461.78,0,0,123,0.0,0
1000310,10,36,2444,436.53,628.62,1,0,460,192.09000000000003,1
1000311,2,43,1803,162.99,161.99,0,0,931,-1.0,0
1000312,53,43,1198,166.9,199.88,0,0,392,32.97999999999999,0
1000313,81,14,2539,145.53,145.53,0,0,271,0.0,0
1000314,70,23,2306,242.5,338.53,1,0,80,96.02999999999997,1
1000315,53,145,2631,155.26,155.26,0,0,28,0.0,0
1000317,109,50,1230,285.21,285.21,0,0,258,0.0,0
1000318,46,52,1216,407.43,408.43,0,0,94,1.0,0
1000319,7,41,1803,161.05,183.36,0,0,26,22.310000000000002,0
1000320,47,20,1727,446.23,445.23,0,0,123,-1.0,0
1000321,48,73,2631,95.09,155.26,0,0,42,60.16999999999999,0
1000322,32,81,2707,203.7,229.92,0,0,162,26.22,0
1000323,141,149,1962,521.89,549.08,1,0,270,27.190000000000055,1
1000324,57,66,2569,260.93,328.89,1,0,1160,67.95999999999998,1
1000325,42,10,1248,149.38,149.38,0,0,148,0.0,0
1000326,95,177,2290,242.5,243.5,0,0,555,1.0,0
1000327,50,143,2631,99.0,155.26,0,0,82,56.25999999999999,0
1000328,87,24,1230,384.12,386.12,0,0,135,2.0,0
1000329,68,53,2707,190.12,191.12,0,0,622,1.0,0
1000331,11,102,2707,190.12,190.12,0,0,242,0.0,0
1000332,109,146,2492,308.46,446.23,0,1,337,137.77000000000004,1
1000333,44,55,1543,390.0,484.03,1,0,28,94.02999999999997,1
1000335,21,146,1207,318.19,318.19,0,0,190,0.0,0
1000336,16,157,2492,445.23,447.23,0,0,55,2.0,0
1000337,69,81,2492,446.23,445.23,0,0,15,-1.0,0
1000338,97,50,1248,153.26,153.26,0,0,26,0.0,0
1000339,11,174,1971,243.5,302.64,1,0,1106,59.139999999999986,1
1000340,129,92,1543,469.51,468.51,0,0,94,-1.0,0
1000341,91,11,1207,320.1,368.66,0,0,123,48.56,0
1000342,47,24,1778,161.05,183.39,0,0,365,22.339999999999975,0
1000343,21,110,2581,485.03,641.23,1,0,256,156.20000000000005,1
1000344,41,88,2290,310.43,309.43,0,0,230,-1.0,0
1000345,17,149,1962,639.23,639.23,0,0,69,0.0,0
1000346,116,110,1962,469.51,641.23,1,1,392,171.72000000000003,2
1000347,20,23,1248,251.23,253.23,0,0,41,2.0,0
1000348,137,186,1216,418.13,416.13,0,0,82,-2.0,0
1000349,32,73,1062,158.17,176.54,1,0,499,18.370000000000005,1
1000350,34,106,1062,152.35,151.35,0,0,296,-1.0,0
1000351,110,186,1109,260.93,321.13,0,0,148,60.19999999999999,0
1000353,55,139,1885,114.49,96.09,0,1,393,-18.39999999999999,1
1000354,145,64,2640,320.13,320.13,0,0,54,0.0,0
1000355,7,186,2577,243.53,242.53,0,0,40,-1.0,0
1000356,6,65,2492,446.23,447.23,0,0,13,1.0,0
1000358,14,99,2640,282.33,281.33,0,0,82,-1.0,0
1000359,54,137,2490,250.29,249.29,0,0,594,-1.0,0
1000360,52,11,2631,155.26,155.26,0,0,82,0.0,0
1000361,126,92,1727,422.95,421.95,0,0,242,-1.0,0
1000363,95,186,2290,243.5,244.5,1,0,528,1.0,1
1000364,2,108,1543,485.03,486.03,0,0,53,1.0,0
1000365,103,89,1198,195.0,196.0,0,0,311,1.0,0
1000366,131,137,1248,164.93,164.93,0,0,41,0.0,0
1000367,40,113,2569,328.89,326.89,0,0,312,-2.0,0
1000368,126,50,2490,291.03,291.03,0,0,150,0.0,0
1000369,81,177,2826,311.43,310.43,0,0,176,-1.0,0
1000370,56,161,2664,261.93,327.89,1,1,419,65.95999999999998,2
1000371,57,24,1727,446.23,445.23,0,0,526,-1.0,0
1000372,110,186,1062,172.66,172.66,0,0,134,0.0,0
1000373,145,67,2139,284.21,284.21,0,0,67,0.0,0
1000374,82,113,2664,252.26,309.43,1,1,1094,57.170000000000016,2
1000375,28,81,2707,220.19,222.19,0,0,217,2.0,0
1000376,67,51,1311,116.4,117.4,0,0,149,1.0,0
1000377,86,30,1109,232.83,311.43,0,0,269,78.6,0
1000378,101,59,1525,290.03,290.03,0,0,297,0.0,0
1000379,117,34,1971,288.15,288.15,0,0,135,0.0,0
1000381,27,10,1962,485.03,622.77,1,0,730,137.74,1
1000382,64,61,2104,629.53,631.53,0,0,41,2.0,0
1000383,83,59,2539,145.5,145.5,0,1,824,0.0,1
1000384,36,65,2490,244.5,244.5,0,0,325,0.0,0
1000385,28,75,2444,570.36,571.36,0,0,136,1.0,0
1000386,119,24,1847,195.0,243.5,0,0,108,48.5,0
1000387,37,51,1445,669.33,668.33,0,0,54,-1.0,0
1000388,84,52,1207,376.42,456.87,0,0,134,80.44999999999999,0
1000389,22,32,1248,235.74,261.93,0,0,15,26.189999999999998,0
1000390,76,104,1543,462.72,461.72,0,0,81,-1.0,0
1000391,56,80,2494,241.56,241.56,0,0,28,0.0,0
1000393,126,27,1198,194.03,227.01,0,0,95,32.97999999999999,0
1000394,11,99,2290,299.73,300.73,0,0,485,1.0,0
1000395,20,57,1216,417.13,418.13,0,0,26,1.0,0
1000396,91,36,1754,309.43,311.43,0,0,134,2.0,0
1000397,87,24,1770,485.03,486.03,0,0,27,1.0,0
1000398,31,161,2581,641.23,640.23,0,0,134,-1.0,0
1000400,84,149,1247,445.23,446.23,0,0,14,1.0,0
1000401,21,30,2492,387.03,388.03,0,0,80,1.0,0
1000402,124,17,1109,199.88,320.13,0,0,486,120.25,0
1000403,59,143,1754,298.76,299.76,0,0,393,1.0,0
1000404,88,126,1778,161.05,181.45,0,0,649,20.399999999999977,0
1000406,103,157,1109,192.09,339.5,0,0,68,147.41,0
1000407,141,174,1803,192.12,191.12,0,0,431,-1.0,0
1000408,55,81,2306,243.5,340.53,0,0,42,97.02999999999997,0
1000410,114,55,1558,470.45,699.43,1,1,391,228.97999999999996,2
1000411,103,161,1558,639.23,641.23,0,0,53,2.0,0
1000412,45,92,2322,315.28,315.28,0,0,150,0.0,0
1000413,78,77,2139,277.48,277.48,0,0,28,0.0,0
1000414,97,65,2826,244.5,310.43,1,0,784,65.93,1
1000415,82,55,2492,340.5,387.03,0,0,53,46.52999999999997,0
1000416,93,86,2139,308.49,308.49,0,0,28,0.0,0
1000417,95,186,2539,122.25,121.25,0,0,40,-1.0,0
1000418,60,73,2867,485.03,707.13,1,1,163,222.10000000000002,2
1000419,129,106,1902,447.23,445.23,0,0,14,-2.0,0
1000420,32,53,2704,290.03,290.03,0,0,68,0.0,0
1000421,64,10,2290,270.63,271.63,0,0,1242,1.0,0
1000422,54,145,2126,438.5,553.93,0,1,26,115.42999999999995,1
1000423,85,97,1543,389.03,513.13,0,1,148,124.10000000000002,1
1000424,16,10,2139,435.53,437.53,0,0,28,2.0,0
1000425,87,186,1885,119.37,119.37,0,0,405,0.0,0
1000426,126,146,2306,336.62,335.62,0,0,82,-1.0,0
1000427,7,10,2707,227.01,228.01,0,0,986,1.0,0
1000428,135,14,1558,547.08,639.23,1,1,215,92.14999999999998,2
1000430,89,50,2664,311.43,309.43,0,0,580,-2.0,0
1000431,99,106,2444,709.13,709.13,0,0,27,0.0,0
1000432,1,52,1878,280.33,282.33,0,0,121,2.0,0
1000433,25,77,2581,615.04,615.04,0,0,81,0.0,0
1000434,19,58,2867,658.63,659.63,0,0,15,1.0,0
1000435,17,42,2304,387.03,503.43,0,0,54,116.40000000000003,0
1000436,103,124,2490,281.36,279.36,0,0,283,-2.0,0
1000437,68,61,2640,282.33,280.33,0,0,310,-2.0,0
1000439,141,50,1885,122.28,122.28,0,0,393,0.0,0
1000440,114,106,1445,707.13,709.13,0,0,41,2.0,0
1000441,130,93,2581,486.03,660.63,1,1,392,174.60000000000002,2
1000442,106,34,2640,282.33,282.33,0,0,312,0.0,0
1000443,120,139,1878,282.33,282.33,0,0,13,0.0,0
1000444,95,23,2492,387.03,387.03,0,0,15,0.0,0
1000445,21,143,2290,304.64,304.64,0,0,582,0.0,0
1000446,14,51,1754,290.03,291.03,0,0,526,1.0,0
1000447,61,17,2290,263.9,262.9,0,0,324,-1.0,0
1000448,55,36,2322,467.57,470.45,0,1,95,2.8799999999999955,1
1000449,48,86,1558,678.03,679.03,0,0,298,1.0,0
1000450,75,174,2867,602.37,603.37,0,0,162,1.0,0
1000451,84,109,1727,369.63,446.23,0,0,310,76.60000000000002,0
1000452,73,55,1971,290.03,291.03,0,0,162,1.0,0
1000453,37,14,1558,442.38,680.03,1,1,460,237.64999999999998,2
1000454,12,64,2290,303.67,303.67,0,0,487,0.0,0
1000455,117,51,1247,445.23,445.23,0,0,13,0.0,0
1000456,89,36,1878,291.03,291.03,0,0,82,0.0,0
1000457,136,52,2867,726.53,728.53,0,0,15,2.0,0
1000458,124,152,2139,280.33,281.33,0,0,40,1.0,0
1000459,2,132,1803,180.48,179.48,0,0,338,-1.0,0
1000460,47,14,2490,252.2,254.2,0,0,269,2.0,0
1000461,75,162,2569,327.89,327.89,0,0,377,0.0,0
1000463,66,108,2304,486.03,485.03,0,0,14,-1.0,0
1000464,68,32,2492,447.23,446.23,0,0,13,-1.0,0
1000465,126,186,1727,421.95,422.95,0,0,175,1.0,0
1000466,120,59,1993,149.38,149.38,0,0,931,0.0,0
1000467,99,93,1885,122.28,120.28,0,0,256,-2.0,0
1000468,109,153,1198,169.75,170.75,0,0,202,1.0,0
1000469,19,55,1207,379.3,379.3,0,0,55,0.0,0
1000470,144,14,2581,549.08,548.08,0,0,176,-1.0,0
1000471,91,86,2126,437.53,534.53,0,0,26,97.0,0
