Order_ID,Date,Food_Item,Quantity_Sold,Price,Weather,Weekend,Festival,Customer_Count,Inventory_Level
37,2024-05-21,Pasta,13,369.35,Hot,0,0,273,214
38,2024-10-30,Pasta,2,369.7,Sunny,1,0,50,388
39,2024-07-30,Biryani,19,201.63,Hot,1,1,169,381
40,2023-12-12,Tacos,9,55.26,Cloudy,1,0,87,428
41,2024-11-28,Biryani,12,180.97,Cloudy,0,1,297,234
42,2023-12-26,Salad,4,252.14,Sunny,0,0,37,341
43,2024-08-27,Noodles,8,135.09,Sunny,0,1,275,323
44,2024-12-22,Coffee,2,215.38,Hot,0,0,78,456
45,2024-12-26,Cake,6,256.68,Rainy,1,0,262,436
46,2023-08-04,Noodles,15,326.43,Rainy,0,1,226,477
47,2023-12-02,Tacos,11,120.16,Sunny,1,0,225,385
48,2024-11-22,Tea,15,279.3,Cloudy,1,0,205,475
49,2024-12-01,Sandwich,18,144.51,Sunny,1,1,207,487
50,2023-03-21,Pizza,6,208.11,Cloudy,1,0,30,427
51,2024-08-27,Juice,13,123.28,Hot,1,1,65,224
52,2023-07-23,Cake,7,207.33,Rainy,0,1,207,345
53,2023-02-13,Sandwich,8,303.84,Cloudy,1,1,116,435
54,2024-02-15,Fried Rice,8,498.69,Cloudy,0,0,208,67
55,2024-12-29,Salad,17,324.35,Rainy,1,1,40,274
56,2023-01-08,Ice Cream,15,294.74,Cloudy,1,1,27,361
57,2023-06-15,Pizza,15,353.61,Hot,1,0,188,242
58,2024-09-13,Fried Rice,9,393.55,Sunny,1,0,184,410
59,2023-04-04,Tea,11,471.78,Hot,0,0,233,82
60,2024-12-07,Noodles,3,232.77,Cloudy,1,0,53,368
61,2024-11-29,Noodles,7,429.12,Hot,0,1,253,361
62,2023-06-22,Fried Rice,12,292.64,Rainy,0,1,43,121
63,2023-03-14,Pizza,16,87.34,Hot,0,0,29,50
64,2023-09-24,Pasta,16,349.92,Rainy,1,0,118,453
65,2024-03-07,Salad,19,147.27,Cloudy,0,0,20,260
66,2023-03-29,Tacos,14,56.4,Cloudy,1,1,64,96
67,2024-06-28,Pizza,9,168.97,Hot,1,1,51,171
68,2023-02-01,Biryani,13,312.68,Hot,0,0,139,99
69,2024-01-28,Burger,11,113.65,Cloudy,0,0,264,157
70,2024-08-13,Juice,15,130.88,Cloudy,1,1,144,155
71,2024-05-04,Cake,18,491.88,Cloudy,0,1,130,155
72,2024-06-02,Coffee,5,261.97,Cloudy,1,0,177,393
73,2024-12-25,Pasta,11,180.37,Rainy,1,0,195,315
74,2024-06-15,Tacos,7,97.61,Cloudy,1,0,283,273
75,2023-06-02,Fried Rice,14,218.82,Cloudy,0,1,169,275
76,2023-01-10,Ice Cream,2,246.01,Sunny,1,0,142,458
77,2023-10-31,Sandwich,3,178.34,Rainy,1,0,109,297
78,2024-10-18,Cake,4,410.41,Cloudy,1,1,33,218
79,2024-05-11,Burger,2,196.79,Rainy,0,0,263,313
80,2024-06-22,Tacos,6,86.17,Rainy,0,1,122,339
81,2024-05-05,Biryani,6,449.74,Hot,1,1,219,208
82,2024-06-03,Noodles,4,438.74,Rainy,1,0,279,168
83,2024-02-22,Wrap,13,379.46,Hot,0,0,272,352
84,2024-08-04,Noodles,8,189.57,Sunny,0,0,262,205
85,2023-04-17,Juice,8,473.81,Cloudy,0,0,258,134
86,2024-04-13,Pizza,13,195.71,Sunny,0,1,162,254
87,2024-12-29,Wrap,1,197.99,Hot,0,0,117,173
88,2024-07-31,Fried Rice,9,350.23,Sunny,1,1,234,92
89,2023-11-27,Coffee,3,110.8,Hot,0,1,142,53
90,2024-02-23,Sandwich,17,362.24,Hot,1,1,221,317
91,2024-04-21,Ice Cream,9,298.13,Cloudy,0,1,262,124
92,2024-10-08,Pasta,6,158.43,Hot,1,1,101,240
93,2023-03-01,Ice Cream,3,463.07,Rainy,0,1,176,498
94,2023-01-13,Salad,15,113.96,Sunny,1,1,217,171
95,2023-01-31,Coffee,10,119.28,Rainy,1,0,65,386
96,2023-01-28,Salad,13,164.48,Hot,1,1,272,193
97,2023-01-01,Burger,8,204.29,Cloudy,1,0,145,251
98,2023-06-11,Pizza,6,146.2,Sunny,0,0,244,349
99,2024-02-13,Coffee,12,355.38,Sunny,1,1,221,382
100,2024-01-19,Burger,6,450.92,Cloudy,1,1,198,260
101,2024-01-09,Burger,18,266.86,Rainy,0,0,123,133
102,2023-12-04,Cake,14,304.57,Rainy,0,0,144,377
103,2023-06-09,Tacos,16,146.55,Rainy,0,1,107,418
104,2023-11-09,Juice,3,453.28,Rainy,0,1,238,138
105,2024-07-19,Pizza,17,494.2,Rainy,1,0,182,476
106,2024-01-23,Salad,19,346.02,Sunny,1,0,166,361
107,2024-06-08,Fried Rice,6,496.79,Sunny,1,1,104,229
108,2023-05-28,Coffee,2,427.3,Cloudy,1,1,261,241
109,2024-06-29,Noodles,17,187.31,Sunny,0,1,20,177
110,2024-10-01,Biryani,14,266.21,Cloudy,0,0,62,268
111,2024-05-15,Sandwich,7,124.2,Hot,0,0,155,169
112,2023-01-20,Salad,19,306.44,Sunny,1,1,120,97
113,2023-10-12,Pizza,6,225.61,Sunny,1,0,28,315
114,2024-10-26,Tacos,11,229.72,Cloudy,0,0,226,289
115,2024-03-16,Salad,2,243.51,Rainy,0,0,133,115
116,2024-07-21,Wrap,8,129.25,Hot,0,1,182,411
117,2024-05-21,Wrap,17,146.42,Hot,0,0,157,173
118,2024-04-18,Juice,13,390.98,Sunny,0,0,56,278
119,2023-11-21,Wrap,6,306.35,Cloudy,0,0,177,362
120,2023-10-05,Juice,4,109.71,Hot,0,1,188,316
121,2023-12-27,Biryani,2,186.82,Cloudy,1,0,51,375
122,2024-02-02,Tacos,8,156.48,Rainy,1,1,254,292
123,2023-12-27,Tea,15,317.21,Hot,1,0,60,104
124,2023-07-27,Tea,11,142.4,Rainy,0,0,171,484
125,2023-11-01,Sandwich,13,360.04,Rainy,1,0,227,308
126,2024-03-05,Ice Cream,8,313.19,Sunny,0,1,202,461
127,2023-11-27,Juice,15,265.83,Rainy,0,1,42,136
128,2024-10-03,Tea,13,250.28,Cloudy,1,0,128,301
129,2023-09-21,Burger,16,223.24,Sunny,0,0,105,71
130,2024-06-27,Wrap,9,96.1,Sunny,1,0,89,287
131,2023-05-17,Tacos,11,146.85,Sunny,1,1,84,404
132,2023-02-16,Tacos,8,286.46,Cloudy,1,0,177,425
133,2024-09-06,Fried Rice,3,214.81,Rainy,1,0,238,415
134,2024-06-27,Pizza,5,307.23,Sunny,1,1,87,304
135,2023-11-10,Coffee,19,415.69,Cloudy,0,0,259,414
136,2024-07-21,Ice Cream,17,406.84,Sunny,1,1,130,388
137,2023-09-10,Salad,2,447.24,Rainy,0,1,248,283
138,2024-04-25,Salad,19,176.02,Sunny,1,0,105,495
139,2023-07-26,Noodles,7,303.38,Cloudy,1,1,76,176
140,2024-01-04,Fried Rice,5,278.45,Cloudy,0,1,143,61
141,2024-02-25,Ice Cream,19,132.33,Rainy,1,1,174,137
142,2024-11-10,Juice,1,322.64,Sunny,0,0,252,427
143,2024-11-26,Juice,15,192.37,Rainy,0,0,285,299
144,2024-11-09,Wrap,6,424.85,Rainy,1,1,167,57
145,2023-02-28,Wrap,7,222.48,Hot,0,0,236,170
146,2023-09-19,Burger,16,63.59,Cloudy,1,1,35,237
147,2024-11-03,Tea,15,419.03,Cloudy,0,0,189,142
148,2024-11-28,Burger,4,228.13,Cloudy,1,1,246,403
149,2023-06-17,Ice Cream,12,418.31,Sunny,0,0,244,171
150,2023-12-29,Ice Cream,5,458.38,Sunny,0,0,117,304
151,2024-05-04,Wrap,3,285.46,Sunny,0,0,48,380
152,2023-10-05,Tea,6,454.47,Cloudy,1,0,144,115
153,2024-08-15,Biryani,15,160.72,Sunny,1,0,31,178
154,2023-12-16,Pasta,6,238.49,Rainy,0,0,286,472
155,2024-11-18,Tea,9,105.33,Sunny,0,0,94,478
156,2024-08-29,Pizza,5,199.72,Rainy,1,1,161,139
157,2023-05-25,Burger,19,410.67,Hot,1,1,252,346
158,2023-07-10,Wrap,16,50.59,Hot,1,1,138,316
159,2024-12-14,Pizza,19,82.75,Hot,1,0,199,406
160,2024-09-25,Sandwich,1,90.06,Sunny,0,0,219,447
161,2023-07-30,Biryani,17,408.54,Hot,0,0,139,271
162,2024-11-19,Wrap,17,473.22,Sunny,0,1,141,62
163,2024-10-06,Salad,15,165.05,Cloudy,1,0,199,281
164,2024-12-16,Noodles,17,119.08,Hot,1,0,82,435
165,2024-05-14,Salad,7,317.72,Sunny,1,0,198,126
166,2023-04-16,Pasta,18,197.15,Cloudy,0,1,184,138
167,2023-04-06,Burger,17,140.65,Rainy,0,1,21,260
168,2024-10-08,Tea,6,324.53,Sunny,0,0,150,405
169,2023-06-26,Wrap,2,401.94,Cloudy,1,1,90,82
170,2023-10-30,Wrap,15,266.58,Sunny,0,0,204,126
171,2023-01-12,Biryani,5,147.47,Hot,1,0,187,311
172,2024-03-17,Tea,19,471.44,Rainy,0,1,131,250
173,2023-09-07,Coffee,6,239.22,Hot,1,1,113,50
174,2024-02-14,Tea,3,87.27,Rainy,1,0,274,302
175,2024-04-26,Burger,11,239.85,Cloudy,1,1,82,187
176,2023-11-04,Pasta,5,236.56,Sunny,0,1,155,340
177,2023-09-27,Pizza,10,292.88,Sunny,0,0,283,339
178,2024-04-14,Pasta,5,196.18,Cloudy,0,0,209,237
179,2024-12-13,Tacos,3,426.78,Sunny,1,0,26,77
180,2024-06-23,Fried Rice,16,378.58,Hot,0,1,237,355
181,2023-07-03,Wrap,15,103.47,Cloudy,0,1,189,427
182,2024-08-15,Pizza,17,107.85,Rainy,0,0,230,93
183,2023-01-24,Juice,2,316.64,Cloudy,1,1,289,137
184,2024-07-16,Noodles,15,415.63,Sunny,0,0,171,192
185,2024-04-12,Ice Cream,19,166.36,Hot,0,0,190,303
186,2024-04-16,Pizza,12,88.31,Cloudy,1,0,162,58
187,2024-07-11,Burger,4,202.16,Sunny,1,1,249,445
188,2023-01-23,Burger,8,126.91,Hot,0,1,69,212
189,2023-12-13,Noodles,18,223.9,Hot,1,0,51,359
190,2024-04-27,Fried Rice,10,301.79,Cloudy,1,1,56,345
191,2024-07-17,Pizza,18,179.88,Cloudy,0,0,234,113
192,2024-03-16,Fried Rice,14,185.94,Rainy,1,0,133,472
193,2024-09-20,Burger,6,53.9,Cloudy,1,1,144,308
194,2023-10-09,Ice Cream,15,454.85,Sunny,1,0,210,418
195,2024-06-22,Burger,14,309.18,Sunny,0,1,181,167
196,2023-10-10,Wrap,9,387.03,Hot,0,0,239,377
197,2024-12-22,Noodles,1,269.7,Rainy,1,0,124,474
198,2024-06-05,Salad,10,474.26,Cloudy,1,0,177,154
199,2024-05-16,Burger,12,172.89,Sunny,0,1,205,260
200,2024-04-25,Pizza,15,75.56,Rainy,1,0,47,392
201,2023-03-02,Pizza,3,304.59,Hot,0,1,251,185
202,2024-11-17,Sandwich,11,264.5,Sunny,0,1,186,241
203,2023-05-08,Sandwich,5,381.64,Rainy,1,1,160,75
204,2023-10-09,Tacos,14,408.46,Hot,0,1,209,464
205,2024-08-24,Fried Rice,17,492.39,Hot,0,1,144,170
206,2024-06-19,Juice,7,89.66,Cloudy,0,1,183,378
207,2023-01-30,Pasta,9,113.1,Sunny,1,0,153,401
208,2023-01-27,Noodles,18,303.59,Rainy,0,0,92,54
209,2023-10-15,Coffee,10,406.44,Cloudy,0,0,88,466
210,2023-11-23,Biryani,11,496.39,Hot,0,1,165,70
211,2024-07-11,Burger,13,268.32,Rainy,0,0,287,300
212,2024-01-04,Tacos,6,254.97,Rainy,1,0,60,100
213,2023-06-24,Salad,13,171.81,Hot,0,0,266,177
214,2024-09-11,Tacos,19,228.74,Sunny,0,0,99,199
215,2024-08-02,Ice Cream,5,257.54,Sunny,1,0,85,410
216,2024-07-07,Tacos,8,374.01,Sunny,1,0,251,218
217,2023-11-08,Ice Cream,15,170.32,Cloudy,0,0,36,471
218,2024-10-05,Wrap,16,488.43,Cloudy,0,0,168,135
219,2024-01-18,Cake,10,264.62,Sunny,1,1,148,410
220,2024-02-27,Wrap,17,276.5,Rainy,0,0,24,499
221,2023-07-17,Juice,11,243.28,Cloudy,0,0,214,143
222,2024-09-04,Burger,11,125.55,Sunny,1,1,154,366
223,2023-03-07,Noodles,8,137.05,Hot,0,0,77,411
224,2024-03-01,Salad,14,125.06,Cloudy,0,1,148,217
225,2023-05-30,Pizza,2,400.82,Rainy,0,1,142,306
226,2023-05-13,Pasta,19,346.16,Cloudy,1,0,93,145
227,2024-04-27,Pasta,3,317.28,Hot,0,0,103,365
228,2023-12-12,Wrap,16,301.7,Sunny,0,1,173,166
229,2023-06-03,Ice Cream,2,401.68,Hot,1,1,244,164
230,2024-03-23,Pizza,6,479.77,Sunny,1,0,243,245
231,2023-05-05,Juice,9,110.95,Sunny,0,1,99,103
232,2024-04-09,Sandwich,8,150.82,Sunny,0,0,58,402
233,2023-07-16,Burger,5,269.01,Sunny,1,1,79,474
234,2023-09-08,Wrap,5,472.72,Sunny,1,1,245,478
235,2024-11-23,Pizza,7,89.81,Rainy,1,0,105,483
236,2023-08-04,Sandwich,18,89.99,Cloudy,1,1,210,318
237,2024-10-22,Ice Cream,15,183.65,Hot,0,0,153,374
238,2023-06-23,Fried Rice,12,405.43,Cloudy,0,0,59,355
239,2024-03-21,Pizza,3,147.72,Cloudy,1,0,100,275
240,2023-08-16,Wrap,5,172.13,Rainy,0,1,167,284
241,2023-10-10,Burger,13,166.46,Hot,0,0,158,406
242,2023-11-21,Ice Cream,8,96.6,Rainy,1,1,97,238
243,2023-04-04,Burger,17,218.92,Rainy,0,0,111,313
244,2023-02-26,Pizza,9,273.52,Hot,1,1,227,219
245,2024-09-27,Tea,16,170.92,Cloudy,1,0,282,366
246,2024-08-20,Burger,7,58.84,Hot,1,1,44,309
247,2024-10-19,Wrap,10,456.69,Hot,1,0,100,350
248,2023-09-17,Tacos,6,205.37,Hot,0,1,147,129
249,2023-09-09,Wrap,14,218.96,Rainy,0,0,282,68
250,2024-02-20,Noodles,16,390.27,Rainy,1,0,56,206
251,2024-06-12,Pasta,14,337.61,Rainy,0,0,130,410
252,2024-04-18,Noodles,19,73.45,Rainy,1,0,39,319
253,2023-10-27,Coffee,10,359.58,Rainy,1,0,170,202
254,2023-11-04,Pizza,9,260.41,Sunny,1,0,37,175
255,2023-02-20,Burger,9,276.7,Hot,1,0,279,287
256,2024-09-01,Fried Rice,5,300.18,Hot,1,0,191,378
257,2024-03-03,Fried Rice,2,232.52,Hot,0,1,26,165
258,2024-07-14,Salad,16,347.93,Hot,0,1,260,482
259,2023-05-11,Pasta,4,481.93,Cloudy,0,0,131,302
260,2023-04-06,Pizza,7,468.29,Cloudy,1,1,42,181
261,2024-10-12,Wrap,10,164.3,Cloudy,0,1,23,52
262,2023-07-30,Burger,4,350.81,Rainy,0,0,28,402
263,2023-10-14,Biryani,12,240.59,Rainy,1,1,162,383
264,2024-09-06,Cake,18,383.9,Hot,1,1,21,74
265,2023-11-07,Pasta,8,68.41,Sunny,0,0,133,284
266,2024-12-10,Cake,2,193.86,Sunny,0,1,203,353
267,2024-09-03,Fried Rice,13,465.4,Hot,1,1,131,424
268,2023-07-25,Pizza,8,290.68,Sunny,0,1,281,53
269,2024-05-05,Tea,3,106.47,Rainy,0,0,198,285
270,2023-03-11,Burger,11,443.76,Cloudy,1,0,260,179
271,2023-06-15,Biryani,4,327.86,Hot,1,0,225,341
272,2024-10-05,Biryani,8,432.18,Rainy,0,1,176,228
273,2024-11-24,Coffee,10,204.16,Cloudy,0,0,108,168
274,2024-10-27,Pasta,17,309.02,Sunny,1,0,72,261
275,2023-12-24,Salad,1,207.94,Cloudy,0,1,237,315
276,2023-07-23,Pizza,7,470.54,Hot,1,0,226,245
277,2023-11-30,Sandwich,10,477.92,Cloudy,0,1,76,254
278,2023-10-14,Fried Rice,13,142.53,Cloudy,1,1,285,75
279,2024-02-07,Tacos,8,170.73,Hot,1,1,42,368
280,2023-06-02,Ice Cream,1,228.23,Rainy,0,1,286,341
281,2024-12-24,Wrap,13,110.23,Sunny,0,1,29,224
282,2024-12-15,Pizza,1,318.65,Rainy,0,1,157,495
283,2023-04-14,Coffee,6,426.1,Rainy,1,1,85,402
284,2024-11-20,Sandwich,1,398.07,Hot,0,1,234,124
285,2023-06-18,Cake,11,261.53,Sunny,1,1,207,341
286,2023-12-14,Tacos,15,171.71,Hot,1,0,238,160
287,2024-04-16,Pizza,2,147.41,Hot,1,0,160,432
288,2023-06-21,Juice,2,324.23,Hot,0,0,292,185
289,2023-06-25,Sandwich,1,311.37,Rainy,0,1,37,333
290,2023-07-13,Coffee,5,415.13,Cloudy,0,1,240,133
291,2023-08-25,Cake,9,414.86,Hot,1,1,232,497
292,2024-04-23,Burger,5,54.92,Rainy,1,1,34,192
293,2023-09-14,Pasta,12,288.58,Sunny,0,1,163,54
294,2023-05-16,Sandwich,17,468.58,Sunny,1,0,138,482
295,2024-10-23,Biryani,16,208.73,Hot,1,1,180,78
296,2024-10-31,Ice Cream,7,474.76,Cloudy,0,0,84,477
297,2024-11-29,Pasta,1,197.53,Rainy,0,1,74,336
298,2024-04-30,Juice,10,342.78,Cloudy,1,1,217,234
299,2024-02-29,Burger,15,278.24,Hot,0,0,258,494
300,2024-12-05,Wrap,13,383.03,Cloudy,1,1,86,475
301,2024-09-27,Pizza,2,303.72,Rainy,1,0,287,371
302,2023-05-22,Fried Rice,4,62.62,Hot,0,1,115,115
303,2024-01-18,Coffee,19,247.45,Rainy,0,0,127,498
304,2023-11-05,Pasta,17,58.82,Sunny,1,1,170,310
305,2024-09-19,Burger,3,318.64,Cloudy,1,0,290,163
306,2023-09-12,Wrap,19,452.78,Hot,1,0,179,100
307,2023-03-08,Biryani,15,194.62,Cloudy,0,0,229,326
308,2023-02-21,Pizza,13,442.42,Hot,0,0,233,195
309,2023-07-21,Biryani,1,367.79,Sunny,0,1,112,264
310,2024-06-07,Cake,4,311.85,Rainy,1,0,155,494
311,2023-01-28,Noodles,8,100.23,Hot,0,1,217,234
312,2023-06-18,Juice,3,477.59,Rainy,0,1,97,185
313,2023-11-03,Burger,6,153.17,Sunny,0,0,90,76
314,2023-03-06,Pizza,8,293.37,Hot,1,0,200,267
315,2024-10-22,Wrap,14,274.31,Rainy,0,0,94,56
316,2023-09-07,Pizza,5,372.29,Sunny,1,0,135,178
317,2023-04-13,Pizza,16,125.91,Rainy,1,1,283,262
318,2023-03-16,Coffee,11,268.87,Sunny,1,1,260,144
319,2023-02-07,Burger,7,373.43,Cloudy,0,0,214,496
320,2024-10-13,Cake,13,271.65,Hot,1,1,281,105
321,2024-05-14,Pasta,16,156.65,Rainy,1,1,246,249
322,2023-01-04,Fried Rice,19,477.21,Hot,0,1,299,255
323,2024-01-24,Pizza,10,152.07,Hot,0,0,136,97
324,2024-08-06,Fried Rice,10,146.09,Sunny,1,1,200,124
325,2024-07-17,Fried Rice,6,170.78,Cloudy,0,0,51,316
326,2024-09-25,Burger,19,447.51,Rainy,0,1,239,439
327,2023-06-24,Pizza,17,358.38,Cloudy,0,1,294,395
328,2024-05-16,Ice Cream,14,331.79,Hot,1,0,294,213
329,2023-12-02,Pasta,13,456.0,Cloudy,1,0,246,89
330,2023-07-13,Biryani,5,260.54,Sunny,0,0,89,326
331,2024-12-09,Juice,16,82.69,Rainy,1,1,272,336
332,2023-09-28,Salad,10,405.9,Hot,1,1,264,203
333,2024-01-14,Sandwich,6,60.79,Sunny,0,0,44,472
334,2023-02-17,Coffee,19,146.94,Hot,1,1,160,497
335,2023-09-03,Sandwich,2,202.97,Cloudy,1,1,105,324
336,2024-12-18,Wrap,1,195.06,Rainy,1,0,46,362
337,2023-07-18,Biryani,10,461.21,Cloudy,1,0,221,179
338,2023-12-10,Biryani,12,465.5,Sunny,0,0,26,170
339,2024-01-09,Cake,6,400.15,Hot,1,0,267,162
340,2024-09-19,Sandwich,19,217.89,Hot,0,1,110,431
341,2023-09-22,Tacos,9,258.64,Sunny,0,1,177,150
342,2024-05-01,Salad,10,341.12,Sunny,0,0,248,320
343,2024-11-18,Salad,16,305.16,Sunny,1,1,231,178
344,2024-05-28,Noodles,8,122.81,Hot,1,0,21,479
345,2024-06-03,Coffee,12,191.28,Rainy,0,1,65,275
346,2023-10-31,Sandwich,18,353.32,Rainy,0,0,293,228
347,2024-09-17,Pasta,6,447.66,Hot,1,0,210,455
348,2024-09-15,Juice,11,181.99,Cloudy,0,1,228,144
349,2024-08-22,Salad,17,241.08,Hot,1,1,209,158
350,2024-03-23,Tacos,16,139.15,Cloudy,1,0,25,79
351,2023-01-05,Biryani,4,293.03,Hot,0,1,148,467
352,2024-07-08,Coffee,16,442.52,Rainy,1,1,262,241
353,2023-04-04,Sandwich,9,418.68,Hot,0,0,84,81
354,2024-03-26,Coffee,14,495.08,Cloudy,1,1,112,243
355,2023-05-21,Coffee,15,234.46,Hot,1,0,66,162
356,2023-02-07,Pizza,8,282.95,Cloudy,1,1,265,168
357,2024-08-20,Wrap,17,384.94,Rainy,0,0,149,309
358,2024-03-31,Biryani,9,393.28,Rainy,0,1,74,497
359,2024-06-19,Burger,13,393.61,Hot,0,0,57,179
360,2023-05-30,Noodles,14,188.08,Rainy,1,0,64,459
361,2024-02-22,Noodles,10,247.42,Sunny,1,1,222,59
362,2024-01-17,Wrap,7,303.35,Hot,0,1,274,163
363,2024-06-11,Noodles,7,429.44,Hot,0,1,46,403
364,2023-10-25,Wrap,18,463.82,Cloudy,0,0,41,245
365,2023-05-21,Tacos,13,372.29,Cloudy,1,1,116,92
366,2023-12-15,Pizza,16,87.28,Cloudy,0,0,292,444
367,2024-11-29,Coffee,10,376.23,Sunny,0,0,295,72
368,2023-08-16,Tacos,2,253.71,Hot,0,1,26,307
369,2024-12-04,Biryani,9,307.02,Cloudy,0,0,28,130
370,2023-01-21,Tacos,13,153.5,Rainy,0,1,64,188
371,2024-10-27,Salad,17,311.32,Cloudy,0,1,126,235
372,2024-03-21,Pizza,19,321.61,Sunny,1,1,81,97
373,2024-09-20,Biryani,14,344.34,Rainy,1,1,211,327
374,2023-03-27,Wrap,7,429.33,Sunny,0,1,287,443
375,2024-09-10,Cake,19,248.71,Hot,0,1,93,494
376,2024-09-28,Coffee,11,325.16,Sunny,0,0,214,467
377,2023-05-17,Fried Rice,5,364.85,Sunny,0,1,180,429
378,2023-06-09,Salad,6,52.18,Hot,0,0,103,352
379,2024-04-18,Sandwich,10,192.6,Sunny,1,0,268,451
380,2023-11-30,Juice,5,126.35,Hot,1,1,162,404
381,2023-06-19,Wrap,12,447.93,Sunny,1,0,145,318
382,2024-08-30,Tea,7,349.23,Hot,1,0,227,256
383,2023-04-05,Fried Rice,19,191.38,Hot,1,1,290,226
384,2023-09-23,Cake,17,243.85,Sunny,1,1,109,218
385,2024-11-03,Tea,6,460.85,Cloudy,0,1,111,140
386,2023-01-17,Cake,17,474.37,Hot,0,1,133,359
387,2023-06-05,Salad,12,71.75,Hot,0,1,36,484
388,2024-10-30,Tacos,17,378.48,Sunny,0,0,93,390
389,2024-07-14,Coffee,8,488.57,Cloudy,0,1,98,78
390,2024-07-08,Burger,4,355.92,Hot,1,1,213,464
391,2024-03-31,Noodles,2,190.22,Rainy,0,0,98,405
392,2024-02-22,Wrap,19,455.46,Cloudy,1,0,74,141
393,2023-08-31,Sandwich,18,323.31,Rainy,1,1,213,139
394,2023-11-27,Ice Cream,9,287.66,Hot,0,0,186,415
395,2023-02-02,Noodles,3,387.34,Hot,0,1,277,68
396,2024-02-11,Biryani,2,284.9,Sunny,1,1,69,334
397,2024-11-23,Coffee,14,86.61,Cloudy,0,0,88,414
398,2024-10-25,Juice,3,328.74,Cloudy,1,1,230,321
399,2023-10-18,Burger,17,302.4,Rainy,1,0,192,273
400,2023-05-15,Fried Rice,4,380.49,Hot,1,1,41,140
401,2024-03-18,Coffee,7,384.76,Sunny,0,1,22,476
402,2023-06-04,Wrap,19,449.33,Hot,0,0,280,472
403,2023-02-16,Pizza,14,420.53,Cloudy,1,1,68,483
404,2023-05-02,Sandwich,18,445.29,Sunny,0,1,287,152
405,2023-03-18,Biryani,3,294.76,Sunny,0,0,205,92
406,2024-07-08,Pizza,18,230.08,Hot,0,1,189,234
407,2024-03-22,Coffee,2,291.4,Rainy,1,0,104,246
408,2023-08-01,Noodles,18,147.74,Rainy,0,0,277,484
409,2024-06-09,Burger,14,269.46,Rainy,1,1,116,248
410,2024-05-26,Pasta,1,290.44,Hot,0,1,200,139
411,2024-04-04,Burger,15,108.46,Rainy,1,0,30,356
412,2024-08-25,Biryani,9,132.87,Cloudy,0,0,263,453
413,2024-06-28,Sandwich,18,87.85,Cloudy,0,0,139,367
414,2023-04-25,Noodles,15,224.51,Sunny,1,1,203,109
415,2023-11-15,Coffee,17,390.5,Cloudy,1,0,270,127
416,2024-11-08,Biryani,11,392.68,Rainy,0,0,143,259
417,2024-12-03,Burger,11,240.01,Sunny,1,0,260,83
418,2023-11-27,Salad,10,430.89,Rainy,0,1,262,260
419,2024-03-14,Juice,11,69.49,Cloudy,0,0,58,407
420,2024-02-09,Wrap,12,348.23,Cloudy,0,1,172,273
421,2023-09-22,Pizza,2,406.85,Sunny,0,0,94,272
